num_downloads,month
294,10/1/22
569,9/1/22
829,8/1/22
860,7/1/22
739,6/1/22
926,5/1/22
951,4/1/22
1429,3/1/22
746,2/1/22
639,1/1/22
1049,12/1/21
1731,11/1/21
1582,10/1/21
1038,9/1/21
922,8/1/21
864,7/1/21
804,6/1/21
1015,5/1/21
882,4/1/21
1041,3/1/21
677,2/1/21
636,1/1/21
734,12/1/20
931,11/1/20
1226,10/1/20
1322,9/1/20
5213,8/1/20
1003,7/1/20
830,6/1/20
906,5/1/20
1112,4/1/20
892,3/1/20
904,2/1/20
891,1/1/20
983,12/1/19
1154,11/1/19
978,10/1/19
1768,9/1/19
1212,8/1/19
1584,7/1/19
979,6/1/19
1201,5/1/19
1070,4/1/19
1307,3/1/19
1525,2/1/19
2012,1/1/19
1373,12/1/18
1519,11/1/18
1861,10/1/18
967,9/1/18
1255,8/1/18
363,7/1/18
253,6/1/18
290,5/1/18
282,4/1/18
315,3/1/18
317,2/1/18
383,1/1/18
423,12/1/17
723,11/1/17
252,10/1/17
405,9/1/17
182,8/1/17
205,7/1/17
702,6/1/17
